File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_2_0,5315,2,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1321,44,44,22,39,5,22,0.81,0.5,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,30,38,6,14,0.83,0.68,0.86,0.70,0.80,0.80
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1285,44,44,17,41,3,27,0.85,0.39,0.93,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,27,39,5,17,0.84,0.61,0.89,0.70,0.80,0.80
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1313,44,44,18,44,0,26,1.0,0.41,1.0,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,23,42,2,21,0.92,0.52,0.95,0.70,0.70,0.70
coffeemachine_7_0,8829,7,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1297,44,44,15,43,1,29,0.94,0.34,0.98,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,26,39,5,18,0.84,0.59,0.89,0.70,0.70,0.70
coffeemachine_9_0,2925,9,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1382,44,44,24,38,6,20,0.8,0.55,0.86,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,32,38,6,12,0.84,0.73,0.86,0.80,0.80,0.80
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1242,44,44,23,39,5,21,0.82,0.52,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,31,39,5,13,0.86,0.70,0.89,0.80,0.80,0.80
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1523,44,44,23,40,4,21,0.85,0.52,0.91,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,29,41,3,15,0.91,0.66,0.93,0.80,0.80,0.80
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1408,44,44,13,39,5,31,0.72,0.3,0.89,0.4,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,26,38,6,18,0.81,0.59,0.86,0.70,0.70,0.70
coffeemachine_4_0,8307,4,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.139,44,44,21,41,3,23,0.88,0.48,0.93,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,33,40,4,11,0.89,0.75,0.91,0.80,0.80,0.80
coffeemachine_5_0,6578,5,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.134,44,44,17,39,5,27,0.77,0.39,0.89,0.5,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,24,39,5,20,0.83,0.55,0.89,0.70,0.70,0.70
